"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:L74.3","Miliaria, unspecified","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:L72.8","Other follicular cysts of skin and subcutaneous tissue","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:L94.3","Sclerodactyly","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:L90.6","Striae atrophicae","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:L67.1","Variations in hair color","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:J11.08","Influenza due to other identified influenza virus with specified pneumonia","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:J15.5","Pneumonia due to Escherichia coli","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:G61.82","Multifocal motor neuropathy","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:G61.1","Serum neuropathy","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:K51.518","Left sided colitis with other complication","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:R05.1","Acute cough","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R05.3","Chronic cough","High","Core long COVID symptoms with strong evidence","Chronic","Inherently chronic condition or long-term management required"
"ICD10:R05.9","Cough, unspecified","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R05.8","Other specified cough","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R05.2","Subacute cough","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G47.22","Idiopathic hypersomnia with long sleep time","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G47.53","Hypnagogic and hypnopompic hallucinations","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M48.14","Ankylosing hyperostosis [Forestier], thoracic region","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.122","Cervical disc disorder with myelopathy, mid-cervical region","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.123","Cervical disc disorder with myelopathy, cervicothoracic region","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.321","Other cervical disc degeneration, at C4-C5 level","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.322","Other cervical disc degeneration, at C5-C6 level","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.80","Other cervical disc disorders, unspecified cervical region","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.221","Other cervical disc displacement, at C4-C5 level","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.222","Other cervical disc displacement, at C5-C6 level","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M50.223","Other cervical disc displacement, at C6-C7 level","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M43.8X4","Other specified deforming dorsopathies, thoracic region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M53.80","Other specified dorsopathies, site unspecified","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M47.892","Other spondylosis, cervical region","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M53.2X4","Spinal instabilities, thoracic region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M48.062","Spinal stenosis, lumbar region with neurogenic claudication","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M48.061","Spinal stenosis, lumbar region without neurogenic claudication","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:M43.00","Spondylolysis, site unspecified","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M49.80","Spondylopathy in diseases classified elsewhere, site unspecified","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:R45.7","State of emotional shock and stress, unspecified","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R45.82","Worries","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:E06.2","Chronic thyroiditis with transient thyrotoxicosis","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E06.5","Other chronic thyroiditis","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E05.31","Thyrotoxicosis from ectopic thyroid nodule with thyrotoxic crisis or storm","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:N30.41","Irradiation cystitis with hematuria","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:N11.8","Other chronic tubulo-interstitial nephritis","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:Z45.010","Encounter for checking and testing of cardiac pacemaker pulse generator [battery]","Low","Possible association based on systemic inflammation patterns","Acute","Typically acute condition or intervention"
"ICD10:G90.511","Complex regional pain syndrome I of upper limb","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:R04.9","Other specified abnormal findings (R04)","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:N30.80","Other cystitis without hematuria","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:R10.823","Right lower quadrant rebound abdominal tenderness","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R87.69","Abnormal cytological findings in specimens from other female genital organs","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R83.4","Abnormal immunological findings in cerebrospinal fluid","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R93.49","Abnormal radiologic findings on diagnostic imaging of other urinary organs","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R94.128","Abnormal results of other function studies of ear and other special senses","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R93.9","Diagnostic imaging inconclusive due to excess body fat of patient","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R78.79","Finding of abnormal level of heavy metals in blood","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R78.9","Finding of unspecified substance, not normally found in blood","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R90.0","Intracranial space-occupying lesion found on diagnostic imaging of central nervous system","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R83.8","Other abnormal findings in cerebrospinal fluid","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R85.89","Other abnormal findings in specimens from digestive organs and abdominal cavity","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:O90.4","Postpartum acute kidney failure","Moderate-Low","Speculative but biologically plausible connections","Acute","Typically acute condition or intervention"
"ICD10:F40.00","Agoraphobia, unspecified","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:F14.180","Cocaine abuse with cocaine-induced anxiety disorder","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:F93.0","Separation anxiety disorder of childhood","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:K80.45","Calculus of bile duct with chronic cholecystitis with obstruction","Unlikely","No clear association with long COVID","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K80.61","Calculus of gallbladder and bile duct with cholecystitis, unspecified, with obstruction","Unlikely","No clear association with long COVID","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:K87","Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K80.81","Other cholelithiasis with obstruction","Unlikely","No clear association with long COVID","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:K83.01","Primary sclerosing cholangitis","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:K83.4","Spasm of sphincter of Oddi","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:H53.61","Abnormal dark adaptation curve","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:H53.043","Amblyopia suspect, bilateral","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.041","Amblyopia suspect, right eye","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H54.1152","Blindness right eye category 5, low vision left eye category 2","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H54.10","Blindness, one eye, low vision other eye, unspecified eyes","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.012","Deprivation amblyopia, left eye","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.011","Deprivation amblyopia, right eye","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.469","Homonymous bilateral field defects, unspecified side","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:H54.2X12","Low vision right eye category 1, low vision left eye category 2","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.451","Other localized visual field defect, right eye","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.69","Other night blindness","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.023","Refractive amblyopia, bilateral","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.432","Sector or arcuate defects, left eye","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:H53.033","Strabismic amblyopia, bilateral","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H53.031","Strabismic amblyopia, right eye","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:I48.21","Permanent atrial fibrillation","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:J43.0","Unilateral pulmonary emphysema [MacLeod's syndrome]","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I44.60","Unspecified fascicular block","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:I25.728","Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:I25.708","Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:I25.798","Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:F06.32","Mood disorder due to known physiological condition with major depressive-like episode","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:E09.10","Drug or chemical induced diabetes mellitus with ketoacidosis without coma","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:O24.819","Other pre-existing diabetes mellitus in pregnancy, unspecified trimester","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E13.59","Other specified diabetes mellitus with other circulatory complications","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E13.29","Other specified diabetes mellitus with other diabetic kidney complication","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E13.8","Other specified diabetes mellitus with unspecified complications","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E11.37X9","Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E08.42","Diabetes mellitus due to underlying condition with diabetic polyneuropathy","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E11.41","Type 2 diabetes mellitus with diabetic mononeuropathy","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E13.22","Other specified diabetes mellitus with diabetic chronic kidney disease","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K22.81","Esophageal polyp","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:K20.80","Other esophagitis without bleeding","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:E87.21","Acute metabolic acidosis","Low","Possible association based on systemic inflammation patterns","Acute","Typically acute condition or intervention"
"ICD10:R82.993","Hyperuricosuria","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R82.89","Other abnormal findings on cytological and histological examination of urine","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R82.79","Other abnormal findings on microbiological examination of urine","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G43.D0","Abdominal migraine, not intractable","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G44.021","Chronic cluster headache, intractable","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G44.029","Chronic cluster headache, not intractable","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.701","Chronic migraine without aura, not intractable, with status migrainosus","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:G43.A0","Cyclical vomiting, in migraine, not intractable","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G44.211","Episodic tension-type headache, intractable","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G43.419","Hemiplegic migraine, intractable, without status migrainosus","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G43.839","Menstrual migraine, intractable, without status migrainosus","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G43.509","Persistent migraine aura without cerebral infarction, not intractable, without status migrainosus","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:P09.6","Abnormal findings on neonatal screening for neonatal hearing loss","Moderate-Low","Speculative but biologically plausible connections","Acute","Typically acute condition or intervention"
"ICD10:H90.A11","Conductive hearing loss, unilateral, right ear with restricted hearing on the contralateral side","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:H91.12","Presbycusis, left ear","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:I50.811","Acute right heart failure","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.812","Chronic right heart failure","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.84","End stage heart failure","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.83","High output heart failure","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.89","Other heart failure","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I50.814","Right heart failure due to left heart failure","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:D89.812","Acute on chronic graft-versus-host disease","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:D84.1","Defects in the complement system","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:D82.1","Di George's syndrome","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:D80.5","Immunodeficiency with increased immunoglobulin M [IgM]","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:D89.49","Other mast cell activation disorder","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:D86.3","Sarcoidosis of skin","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:G90.512","Complex regional pain syndrome I of left upper limb","Moderate","Emerging evidence or plausible systemic associations","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R25.0","Abnormal head movements","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2354","Coma scale, best motor response, localizes pain, 24 hours or more after hospital admission","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:R40.2243","Coma scale, best verbal response, confused conversation, at hospital admission","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2224","Coma scale, best verbal response, incomprehensible words, 24 hours or more after hospital admission","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2132","Coma scale, eyes open, to sound, at arrival to emergency department","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R47.82","Fluency disorder in conditions classified elsewhere","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R40.2412","Glasgow coma scale score 13-15, at arrival to emergency department","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R41.2","Retrograde amnesia","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R29.0","Tetany","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R48.9","Unspecified symbolic dysfunctions","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R48.3","Visual agnosia","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:L97.323","Non-pressure chronic ulcer of left ankle with necrosis of muscle","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.423","Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.428","Non-pressure chronic ulcer of left heel and midfoot with other specified severity","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.525","Non-pressure chronic ulcer of other part of left foot with muscle involvement without evidence of necrosis","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.823","Non-pressure chronic ulcer of other part of left lower leg with necrosis of muscle","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.829","Non-pressure chronic ulcer of other part of left lower leg with unspecified severity","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.811","Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.801","Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.416","Non-pressure chronic ulcer of right heel and midfoot with bone involvement without evidence of necrosis","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.418","Non-pressure chronic ulcer of right heel and midfoot with other specified severity","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.119","Non-pressure chronic ulcer of right thigh with unspecified severity","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.302","Non-pressure chronic ulcer of unspecified ankle with fat layer exposed","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.209","Non-pressure chronic ulcer of unspecified calf with unspecified severity","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L97.101","Non-pressure chronic ulcer of unspecified thigh limited to breakdown of skin","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:E61.9","Deficiency of nutrient element, unspecified","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:E56.0","Deficiency of vitamin E","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:E63.1","Imbalance of constituents of food intake","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:E53.0","Riboflavin deficiency","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R68.13","Apparent life threatening event in infant (ALTE)","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:R49.21","Hypernasality","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G95.11","Acute infarction of spinal cord (embolic) (nonembolic)","Low","Possible association based on systemic inflammation patterns","Acute","Typically acute condition or intervention"
"ICD10:G25.83","Benign shuddering attacks","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G11.3","Cerebellar ataxia with defective DNA repair","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G10","Huntington's disease","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G96.810","Intracranial hypotension, unspecified","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G91.8","Other hydrocephalus","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G37.8","Other specified demyelinating diseases of central nervous system","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G96.09","Other spinal cerebrospinal fluid leak","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G12.8","Other spinal muscular atrophies and related syndromes","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G96.191","Perineural cyst","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:G12.25","Progressive spinal muscle atrophy","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:I77.5","Necrosis of artery","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:I79.8","Other disorders of arteries, arterioles and capillaries in diseases classified elsewhere","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:N13.0","Hydronephrosis with ureteropelvic junction obstruction","Moderate-Low","Speculative but biologically plausible connections","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:O26.831","Pregnancy related renal disease, first trimester","Moderate-Low","Speculative but biologically plausible connections","Acute","Typically acute condition or intervention"
"ICD10:O26.839","Pregnancy related renal disease, unspecified trimester","Moderate-Low","Speculative but biologically plausible connections","Acute","Typically acute condition or intervention"
"ICD10:N27.0","Small kidney, unilateral","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:K59.81","Ogilvie syndrome","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:B67.5","Echinococcus multilocularis infection of liver","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:K76.82","Hepatic encephalopathy","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:K74.01","Hepatic fibrosis, early fibrosis","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:J82.83","Eosinophilic asthma","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:J84.178","Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:J82.89","Other pulmonary eosinophilia, not elsewhere classified","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:F34.81","Disruptive mood dysregulation disorder","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:F34.89","Other specified persistent mood disorders","Moderate-High","Well-documented secondary long COVID symptoms","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L67.9","Hair color and hair shaft abnormality, unspecified","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:L81.5","Leukoderma, not elsewhere classified","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:L68.2","Localized hypertrichosis","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:L74.1","Miliaria crystallina","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:L57.3","Poikiloderma of Civatte","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:L74.511","Primary focal hyperhidrosis, face","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:J34.81","Nasal mucositis (ulcerative)","Low","Possible association based on systemic inflammation patterns","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:J94.0","Chylous effusion","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
